62 6 ...............$
110 8 ..............$
150 10 .............$
223 2 ..............$
223 1 ..............$
261 8 ..............$
296 8 ..............$
319 2 ..............$
319 1 ..............$
364 6 ..............$
454 8 ..............$
527 8 ..............$
110 8 ..............$
296 9 ..............$
318 10 .............$
527 6 ..............$
595 4 ..............$
2959 10 ............$
58559 6 ............$
260 10 .............$
289 8 ..............$
296 10 .............$
329 6 ..............$
364 10 .............$
858 10 .............$
1089 10 ............$
1213 10 ............$
2021 8 .............$
2033 8 .............$
2054 6 .............$
2064 10 ............$
2086 10 ............$
2087 10 ............$
2124 8 .............$
2788 10 ............$
150 8 ..............$
364 8 ..............$
595 8 ..............$
788 7 ..............$
858 5 ..............$
2502 7 .............$
111 8 ..............$
293 10 .............$
1909 6 .............$
2019 8 .............$
2502 7 .............$
110 10 .............$
198 4 ..............$
260 10 .............$
318 10 .............$
329 6 ..............$
364 6 ..............$
595 6 ..............$
924 8 ..............$
1408 2 .............$
1408 1 .............$
110 8 ..............$
260 7 ..............$
296 8 ..............$
318 10 .............$
524 4 ..............$
527 10 .............$
628 8 ..............$
858 10 .............$
2502 10 ............$
2959 8 .............$
4226 10 ............$
4886 7 .............$
318 8 ..............$
527 10 .............$
608 10 .............$
318 8 ..............$
1089 6 .............$
296 10 .............$
1408 10 ............$
608 4 ..............$
2259 4 .............$
2959 8 .............$
110 8 ..............$
296 7 ..............$
318 9 ..............$
524 7 ..............$
527 8 ..............$
4886 7 .............$
58559 9 ............$
5 9 ................$
6 8 ................$
11 5 ...............$
62 4 ...............$
101 8 ..............$
110 6 ..............$
111 10 .............$
150 6 ..............$
164 8 ..............$
193 2 ..............$
193 1 ..............$
198 3 ..............$
223 8 ..............$
260 10 .............$
293 10 .............$
296 10 .............$
306 10 .............$
318 4 ..............$
329 3 ..............$
364 8 ..............$
454 6 ..............$
524 5 ..............$
527 8 ..............$
549 10 .............$
562 6 ..............$
608 10 .............$
628 5 ..............$
680 4 ..............$
750 8 ..............$
788 3 ..............$
804 7 ..............$
858 10 .............$
909 8 ..............$
912 10 .............$
922 2 ..............$
922 1 ..............$
924 10 .............$
1089 8 .............$
1213 6 .............$
1645 6 .............$
1689 9 .............$
1859 10 ............$
1909 4 .............$
1945 8 .............$
2019 9 .............$
2054 4 .............$
2064 9 .............$
2124 4 .............$
2502 10 ............$
2769 4 .............$
2925 8 .............$
2959 10 ............$
3083 10 ............$
3512 6 .............$
3598 6 .............$
4226 10 ............$
4886 10 ............$
6620 3 .............$
8011 4 .............$
8984 4 .............$
58559 9 ............$
318 8 ..............$
527 8 ..............$
750 8 ..............$
6 9 ................$
111 10 .............$
198 10 .............$
223 5 ..............$
260 7 ..............$
293 8 ..............$
296 10 .............$
318 10 .............$
527 8 ..............$
608 7 ..............$
680 9 ..............$
858 10 .............$
912 9 ..............$
922 10 .............$
924 9 ..............$
1089 10 ............$
1213 10 ............$
1245 8 .............$
1645 7 .............$
2021 7 .............$
2502 2 .............$
2502 1 .............$
2959 10 ............$
3598 8 .............$
4226 10 ............$
4886 7 .............$
8973 7 .............$
5 6 ................$
6 8 ................$
62 8 ...............$
76 6 ...............$
260 6 ..............$
608 8 ..............$
628 8 ..............$
788 6 ..............$
880 2 ..............$
880 1 ..............$
6 6 ................$
11 6 ...............$
63 6 ...............$
101 6 ..............$
110 6 ..............$
111 10 .............$
150 6 ..............$
159 8 ..............$
198 6 ..............$
223 8 ..............$
260 8 ..............$
261 8 ..............$
281 6 ..............$
293 8 ..............$
296 10 .............$
306 10 .............$
318 8 ..............$
329 6 ..............$
364 6 ..............$
451 6 ..............$
454 6 ..............$
507 6 ..............$
522 6 ..............$
527 8 ..............$
562 6 ..............$
595 10 .............$
599 8 ..............$
608 10 .............$
628 6 ..............$
750 10 .............$
788 6 ..............$
858 10 .............$
880 4 ..............$
902 6 ..............$
912 6 ..............$
924 8 ..............$
954 8 ..............$
1089 8 .............$
1213 10 ............$
1408 6 .............$
2019 6 .............$
110 4 ..............$
150 6 ..............$
260 3 ..............$
296 1 ..............$
318 9 ..............$
364 7 ..............$
527 5 ..............$
595 8 ..............$
608 4 ..............$
750 8 ..............$
858 4 ..............$
912 4 ..............$
2959 1 .............$
260 6 ..............$
296 6 ..............$
329 6 ..............$
527 10 .............$
595 6 ..............$
750 10 .............$
858 8 ..............$
912 10 .............$
924 8 ..............$
954 8 ..............$
1089 6 .............$
260 8 ..............$
296 10 .............$
858 8 ..............$
1089 8 .............$
1645 5 .............$
1909 6 .............$
2502 3 .............$
2959 8 .............$
4226 10 ............$
4886 8 .............$
6 7 ................$
11 7 ...............$
62 8 ...............$
110 7 ..............$
111 10 .............$
150 7 ..............$
236 9 ..............$
260 9 ..............$
293 8 ..............$
296 9 ..............$
306 7 ..............$
318 10 .............$
319 9 ..............$
527 7 ..............$
532 7 ..............$
595 9 ..............$
605 8 ..............$
608 9 ..............$
750 9 ..............$
788 4 ..............$
858 10 .............$
900 5 ..............$
909 7 ..............$
912 10 .............$
922 9 ..............$
924 7 ..............$
949 7 ..............$
954 10 .............$
1089 7 .............$
1213 10 ............$
1408 7 .............$
1873 6 .............$
1945 9 .............$
2019 8 .............$
2502 8 .............$
2959 7 .............$
3083 10 ............$
4226 9 .............$
4886 7 .............$
6620 7 .............$
8973 8 .............$
8984 6 .............$
6 10 ...............$
150 6 ..............$
296 10 .............$
78 6 ...............$
260 8 ..............$
608 6 ..............$
788 4 ..............$
63 1 ...............$
260 6 ..............$
296 7 ..............$
318 8 ..............$
608 7 ..............$
858 8 ..............$
1089 7 .............$
2959 8 .............$
4226 8 .............$
58559 10 ...........$
111 8 ..............$
296 8 ..............$
527 10 .............$
1213 8 .............$
2502 8 .............$
110 8 ..............$
902 10 .............$
909 8 ..............$
924 8 ..............$
1945 10 ............$
2019 4 .............$
2300 8 .............$
58559 10 ...........$
6 8 ................$
11 8 ...............$
78 4 ...............$
110 10 .............$
111 8 ..............$
150 10 .............$
260 8 ..............$
261 8 ..............$
281 8 ..............$
296 10 .............$
318 10 .............$
364 6 ..............$
424 8 ..............$
426 4 ..............$
451 8 ..............$
454 10 .............$
507 8 ..............$
527 10 .............$
532 4 ..............$
581 6 ..............$
595 10 .............$
608 10 .............$
628 10 .............$
750 6 ..............$
858 10 .............$
912 10 .............$
922 10 .............$
924 8 ..............$
954 8 ..............$
1089 10 ............$
1213 10 ............$
1245 8 .............$
1645 10 ............$
1873 10 ............$
1945 8 .............$
2054 2 .............$
2054 1 .............$
2064 8 .............$
2088 6 .............$
2124 8 .............$
2259 6 .............$
2300 10 ............$
2307 8 .............$
2320 8 .............$
2959 8 .............$
3529 8 .............$
4226 6 .............$
4482 8 .............$
4886 8 .............$
4954 8 .............$
111 9 ..............$
260 8 ..............$
296 9 ..............$
318 8 ..............$
527 10 .............$
858 9 ..............$
1089 9 .............$
2502 8 .............$
2959 10 ............$
4886 8 .............$
58559 10 ...........$
110 10 .............$
150 10 .............$
261 8 ..............$
296 4 ..............$
364 6 ..............$
595 4 ..............$
532 8 ..............$
562 8 ..............$
2064 10 ............$
2088 4 .............$
2502 10 ............$
2959 8 .............$
6 6 ................$
110 8 ..............$
150 8 ..............$
198 6 ..............$
260 8 ..............$
293 8 ..............$
